algorithm,simulation_id,timestamp,target_range,status,target_ppi,target_ppi_val,arriaval_distr_mean,resource_count_UnifiedResourceProfile
grid_search,sim_49,2025-10-22T09:41:50.729290Z,"[12744.0, 15577.0]",out,cycle_time,18026.53,587.7551020408164,26
grid_search,sim_50,2025-10-22T09:41:54.906885Z,"[12744.0, 15577.0]",out,cycle_time,20633689.11,875.5102040816327,2
grid_search,sim_51,2025-10-22T09:41:59.175063Z,"[12744.0, 15577.0]",out,cycle_time,12864231.62,875.5102040816327,3
grid_search,sim_52,2025-10-22T09:42:03.466292Z,"[12744.0, 15577.0]",out,cycle_time,8973474.58,875.5102040816327,4
grid_search,sim_53,2025-10-22T09:42:07.523761Z,"[12744.0, 15577.0]",out,cycle_time,6569410.47,875.5102040816327,5
grid_search,sim_54,2025-10-22T09:42:11.714036Z,"[12744.0, 15577.0]",out,cycle_time,5045933.4,875.5102040816327,6
grid_search,sim_55,2025-10-22T09:42:15.626832Z,"[12744.0, 15577.0]",out,cycle_time,3924794.25,875.5102040816327,7
grid_search,sim_56,2025-10-22T09:42:19.594672Z,"[12744.0, 15577.0]",out,cycle_time,3082906.52,875.5102040816327,8
grid_search,sim_57,2025-10-22T09:42:23.356273Z,"[12744.0, 15577.0]",out,cycle_time,2422296.61,875.5102040816327,9
grid_search,sim_58,2025-10-22T09:42:27.243740Z,"[12744.0, 15577.0]",out,cycle_time,1921445.58,875.5102040816327,10
grid_search,sim_59,2025-10-22T09:42:30.999995Z,"[12744.0, 15577.0]",out,cycle_time,1461585.98,875.5102040816327,11
grid_search,sim_60,2025-10-22T09:42:34.829266Z,"[12744.0, 15577.0]",out,cycle_time,1126061.19,875.5102040816327,12
grid_search,sim_61,2025-10-22T09:42:38.582681Z,"[12744.0, 15577.0]",out,cycle_time,819280.31,875.5102040816327,13
grid_search,sim_62,2025-10-22T09:42:42.515495Z,"[12744.0, 15577.0]",out,cycle_time,585078.69,875.5102040816327,14
grid_search,sim_63,2025-10-22T09:42:46.480548Z,"[12744.0, 15577.0]",out,cycle_time,327338.39,875.5102040816327,15
grid_search,sim_64,2025-10-22T09:42:50.503916Z,"[12744.0, 15577.0]",out,cycle_time,169396.43,875.5102040816327,16
grid_search,sim_65,2025-10-22T09:42:54.547083Z,"[12744.0, 15577.0]",out,cycle_time,23461.23,875.5102040816327,17
grid_search,sim_66,2025-10-22T09:42:58.540737Z,"[12744.0, 15577.0]",out,cycle_time,17651.74,875.5102040816327,18
grid_search,sim_67,2025-10-22T09:43:02.309688Z,"[12744.0, 15577.0]",out,cycle_time,16645.8,875.5102040816327,19
grid_search,sim_68,2025-10-22T09:43:06.193691Z,"[12744.0, 15577.0]",out,cycle_time,16229.73,875.5102040816327,20
grid_search,sim_69,2025-10-22T09:43:10.043255Z,"[12744.0, 15577.0]",out,cycle_time,15896.33,875.5102040816327,21
grid_search,sim_70,2025-10-22T09:43:13.751328Z,"[12744.0, 15577.0]",out,cycle_time,15736.79,875.5102040816327,22
grid_search,sim_71,2025-10-22T09:43:17.543039Z,"[12744.0, 15577.0]",in,cycle_time,15501.78,875.5102040816327,23
grid_search,sim_72,2025-10-22T09:43:21.326742Z,"[12744.0, 15577.0]",in,cycle_time,15486.76,875.5102040816327,24
grid_search,sim_73,2025-10-22T09:43:24.952850Z,"[12744.0, 15577.0]",in,cycle_time,15509.67,875.5102040816327,25
grid_search,sim_74,2025-10-22T09:43:28.718939Z,"[12744.0, 15577.0]",in,cycle_time,15452.94,875.5102040816327,26
grid_search,sim_75,2025-10-22T09:43:32.948341Z,"[12744.0, 15577.0]",out,cycle_time,19693948.16,1163.265306122449,2
grid_search,sim_76,2025-10-22T09:43:36.965356Z,"[12744.0, 15577.0]",out,cycle_time,11860603.6,1163.265306122449,3
grid_search,sim_77,2025-10-22T09:43:41.093691Z,"[12744.0, 15577.0]",out,cycle_time,7998831.39,1163.265306122449,4
grid_search,sim_78,2025-10-22T09:43:45.206878Z,"[12744.0, 15577.0]",out,cycle_time,5644891.77,1163.265306122449,5
grid_search,sim_79,2025-10-22T09:43:49.074314Z,"[12744.0, 15577.0]",out,cycle_time,4060294.65,1163.265306122449,6
grid_search,sim_80,2025-10-22T09:43:52.939601Z,"[12744.0, 15577.0]",out,cycle_time,2950699.16,1163.265306122449,7
grid_search,sim_81,2025-10-22T09:43:56.709109Z,"[12744.0, 15577.0]",out,cycle_time,2090500.77,1163.265306122449,8
grid_search,sim_82,2025-10-22T09:44:00.405903Z,"[12744.0, 15577.0]",out,cycle_time,1437751.35,1163.265306122449,9
grid_search,sim_83,2025-10-22T09:44:04.185649Z,"[12744.0, 15577.0]",out,cycle_time,912027.51,1163.265306122449,10
grid_search,sim_84,2025-10-22T09:44:07.946291Z,"[12744.0, 15577.0]",out,cycle_time,473438.44,1163.265306122449,11
grid_search,sim_85,2025-10-22T09:44:11.941003Z,"[12744.0, 15577.0]",out,cycle_time,155087.96,1163.265306122449,12
grid_search,sim_86,2025-10-22T09:44:15.965494Z,"[12744.0, 15577.0]",out,cycle_time,19228.08,1163.265306122449,13
grid_search,sim_87,2025-10-22T09:44:19.863969Z,"[12744.0, 15577.0]",out,cycle_time,16559.29,1163.265306122449,14
grid_search,sim_88,2025-10-22T09:44:23.624561Z,"[12744.0, 15577.0]",out,cycle_time,15781.31,1163.265306122449,15
grid_search,sim_89,2025-10-22T09:44:27.426251Z,"[12744.0, 15577.0]",in,cycle_time,15252.24,1163.265306122449,16
grid_search,sim_90,2025-10-22T09:44:31.214713Z,"[12744.0, 15577.0]",in,cycle_time,15149.31,1163.265306122449,17
grid_search,sim_91,2025-10-22T09:44:34.882876Z,"[12744.0, 15577.0]",in,cycle_time,15068.69,1163.265306122449,18
grid_search,sim_92,2025-10-22T09:44:38.661546Z,"[12744.0, 15577.0]",in,cycle_time,14899.29,1163.265306122449,19
grid_search,sim_93,2025-10-22T09:44:42.410408Z,"[12744.0, 15577.0]",in,cycle_time,14890.6,1163.265306122449,20
grid_search,sim_94,2025-10-22T09:44:46.007142Z,"[12744.0, 15577.0]",in,cycle_time,14872.27,1163.265306122449,21
grid_search,sim_95,2025-10-22T09:44:49.730859Z,"[12744.0, 15577.0]",in,cycle_time,14972.26,1163.265306122449,22
grid_search,sim_96,2025-10-22T09:44:53.492941Z,"[12744.0, 15577.0]",in,cycle_time,14820.46,1163.265306122449,23
grid_search,sim_97,2025-10-22T09:44:57.229866Z,"[12744.0, 15577.0]",in,cycle_time,14821.94,1163.265306122449,24
grid_search,sim_98,2025-10-22T09:45:00.828124Z,"[12744.0, 15577.0]",in,cycle_time,14757.76,1163.265306122449,25
grid_search,sim_99,2025-10-22T09:45:04.560734Z,"[12744.0, 15577.0]",in,cycle_time,14839.39,1163.265306122449,26
grid_search,sim_100,2025-10-22T09:45:09.025426Z,"[12744.0, 15577.0]",out,cycle_time,18955467.42,1451.0204081632653,2
grid_search,sim_101,2025-10-22T09:45:13.315202Z,"[12744.0, 15577.0]",out,cycle_time,11091127.07,1451.0204081632653,3
grid_search,sim_102,2025-10-22T09:45:17.618006Z,"[12744.0, 15577.0]",out,cycle_time,7169111.95,1451.0204081632653,4
grid_search,sim_103,2025-10-22T09:45:21.751453Z,"[12744.0, 15577.0]",out,cycle_time,4837481.64,1451.0204081632653,5
grid_search,sim_104,2025-10-22T09:45:25.586023Z,"[12744.0, 15577.0]",out,cycle_time,3223940.85,1451.0204081632653,6
grid_search,sim_105,2025-10-22T09:45:29.258404Z,"[12744.0, 15577.0]",out,cycle_time,2108985.7,1451.0204081632653,7
grid_search,sim_106,2025-10-22T09:45:32.908064Z,"[12744.0, 15577.0]",out,cycle_time,1252305.54,1451.0204081632653,8
grid_search,sim_107,2025-10-22T09:45:36.845657Z,"[12744.0, 15577.0]",out,cycle_time,631968.54,1451.0204081632653,9
grid_search,sim_108,2025-10-22T09:45:40.850404Z,"[12744.0, 15577.0]",out,cycle_time,122315.59,1451.0204081632653,10
grid_search,sim_109,2025-10-22T09:45:44.749644Z,"[12744.0, 15577.0]",out,cycle_time,17984.85,1451.0204081632653,11
grid_search,sim_110,2025-10-22T09:45:48.429105Z,"[12744.0, 15577.0]",out,cycle_time,16767.65,1451.0204081632653,12
grid_search,sim_111,2025-10-22T09:45:52.230313Z,"[12744.0, 15577.0]",out,cycle_time,16292.52,1451.0204081632653,13
grid_search,sim_112,2025-10-22T09:45:56.013729Z,"[12744.0, 15577.0]",out,cycle_time,16075.31,1451.0204081632653,14
grid_search,sim_113,2025-10-22T09:45:59.819244Z,"[12744.0, 15577.0]",out,cycle_time,15892.05,1451.0204081632653,15
grid_search,sim_114,2025-10-22T09:46:03.421841Z,"[12744.0, 15577.0]",out,cycle_time,15914.81,1451.0204081632653,16
grid_search,sim_115,2025-10-22T09:46:07.164208Z,"[12744.0, 15577.0]",out,cycle_time,15842.06,1451.0204081632653,17
grid_search,sim_116,2025-10-22T09:46:10.918564Z,"[12744.0, 15577.0]",out,cycle_time,15811.66,1451.0204081632653,18
grid_search,sim_117,2025-10-22T09:46:14.530151Z,"[12744.0, 15577.0]",out,cycle_time,15677.03,1451.0204081632653,19
grid_search,sim_118,2025-10-22T09:46:18.249642Z,"[12744.0, 15577.0]",out,cycle_time,15771.54,1451.0204081632653,20
grid_search,sim_119,2025-10-22T09:46:21.995255Z,"[12744.0, 15577.0]",out,cycle_time,15673.67,1451.0204081632653,21
grid_search,sim_120,2025-10-22T09:46:25.566124Z,"[12744.0, 15577.0]",in,cycle_time,15554.82,1451.0204081632653,22
grid_search,sim_121,2025-10-22T09:46:29.248759Z,"[12744.0, 15577.0]",out,cycle_time,15629.9,1451.0204081632653,23
grid_search,sim_122,2025-10-22T09:46:32.964827Z,"[12744.0, 15577.0]",out,cycle_time,15770.65,1451.0204081632653,24
