case_id,activity,enable_time,start_time,end_time,resource
2,Cancel application,2025-06-23 12:29:10.000000+00:00,2025-06-23 12:29:10.000000+00:00,2025-06-23 12:49:10.000000+00:00,UnifiedResource_16
7,Check application form completeness,2025-06-23 12:30:00.000000+00:00,2025-06-23 12:30:00.000000+00:00,2025-06-23 12:55:00.000000+00:00,UnifiedResource_8
5,Reject application,2025-06-23 12:54:10.000000+00:00,2025-06-23 12:54:10.000000+00:00,2025-06-23 13:27:30.000000+00:00,UnifiedResource_4
6,Assess loan risk,2025-06-23 12:55:00.000000+00:00,2025-06-23 12:55:00.000000+00:00,2025-06-23 13:24:10.000000+00:00,UnifiedResource_5
7,Return application back to applicant,2025-06-23 12:55:00.000000+00:00,2025-06-23 12:55:00.000000+00:00,2025-06-23 13:36:40.000000+00:00,UnifiedResource_6
8,Check application form completeness,2025-06-23 13:00:00.000000+00:00,2025-06-23 13:00:00.000000+00:00,2025-06-23 13:25:00.000000+00:00,UnifiedResource_7
4,Approve loan offer,2025-06-23 13:14:10.000000+00:00,2025-06-23 13:14:10.000000+00:00,2025-06-23 13:29:10.000000+00:00,UnifiedResource_3
6,Design loan offer,2025-06-23 13:24:10.000000+00:00,2025-06-23 13:24:10.000000+00:00,2025-06-23 14:14:10.000000+00:00,UnifiedResource_12
8,Appraise property,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,UnifiedResource_13
8,Check credit history,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:51:40.000000+00:00,UnifiedResource_11
8,AML check,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:25:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,UnifiedResource_14
4,Approve application,2025-06-23 13:29:10.000000+00:00,2025-06-23 13:29:10.000000+00:00,2025-06-23 13:47:30.000000+00:00,UnifiedResource_15
9,Check application form completeness,2025-06-23 13:30:00.000000+00:00,2025-06-23 13:30:00.000000+00:00,2025-06-23 13:55:00.000000+00:00,UnifiedResource_9
7,Applicant completes form,2025-06-23 13:36:40.000000+00:00,2025-06-23 13:36:40.000000+00:00,2025-06-23 13:51:40.000000+00:00,UnifiedResource_10
